transaction_type,district_name,category_group,listings,median_price_m,median_area,median_price_per_m2
Bán,Quận Tân Phú,Biệt thự,1,16500,108,152777777.7777778
Bán,Quận Tân Phú,Khách sạn,1,10500,80,131250000
Bán,Thành phố Thủ Đức,Kho xưởng,1,10990,87,126321839.08045977
Cho thuê,Bình Dương cũ,Căn hộ / chung cư,1,1.5,30,50000
Cho thuê,Huyện Củ Chi,Biệt thự,1,20,500,40000
Cho thuê,Huyện Củ Chi,Phòng / nhà trọ,1,170,120,1416666.6666666667
Cho thuê,Huyện Củ Chi,Đất,1,39,2700,14444.444444444445
Cho thuê,Huyện Hóc Môn,Biệt thự,1,25,1000,25000
Cho thuê,Huyện Hóc Môn,Kho xưởng,1,50,800,62500
Cho thuê,Quận 1,Đất,1,40,120,333333.3333333333
Cho thuê,Quận 12,Kho xưởng,1,9,136,66176.4705882353
Cho thuê,Quận 4,Kho xưởng,1,11.5,49,234693.8775510204
Cho thuê,Quận 6,Biệt thự,1,25,112,223214.2857142857
Cho thuê,Quận 6,Văn phòng / mặt bằng,1,10,64,156250
Cho thuê,Quận 6,Đất,1,11,36,305555.55555555556
Cho thuê,Quận 6,Đất nền,1,120,1000,120000
Cho thuê,Quận 7,Đất,1,80,450,177777.77777777778
Cho thuê,Quận 8,Kho xưởng,1,22,250,88000
Cho thuê,Quận Bình Thạnh,Đất,1,8.2,50,163999.99999999997
Cho thuê,Quận Bình Tân,Khách sạn,1,25,100,250000
Cho thuê,Quận Gò Vấp,Kho xưởng,1,3.9,27,144444.44444444444
Cho thuê,Quận Gò Vấp,Đất,1,3.8,40,95000
Cho thuê,Quận Tân Bình,Đất,1,155,328.4,471985.38367844094
Cho thuê,Quận Tân Phú,Đất,1,29,400,72500
Cho thuê,TP Bến Cát cũ,Căn hộ / chung cư,1,3,50,60000
