segment,model_exclusion_reason,source,title,price,area,price_per_m2,district_name,category_name,model_category
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần bán gấp căn nhà cấp 4 ở 1/Trần Văn Chẫm-Củ Chi 148m2 SHR giá 900Tr,900000000,148.6,6056527.590847914,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Cần tiền ! Bán căn nhà cấp 4 ở gần cầu vượt Củ Chi 117m2 SHR giá 810tr,810000000,117.5,6893617.021276596,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Nhà giá rẻ Tân Thông Hội Củ Chi. Diện tích 121,5m2",900000000,138.6999,6488829.4800500935,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"ANH HẢI NGỘP BANK – CẦN BÁN GẤP NHÀ SHR TÂN PHÚ TRUNG 810 TR,,IỆU",810000000,136,5955882.352941177,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà vườn 50m2 3 mặt cây xanh thích hợp nghĩ dưỡng chữa lành để dành,699000000,385,1815584.4155844157,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"KẸT TIỀN BÁN NHANH NHÀ TÂN AN HỘI – CỦ CHI, SHR 790 TR,IỆU 144m2",790000000,144,5486111.111111111,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán Dãy Trọ Củ Chi 4 Phòng 850TR , Thu Nhập 7TR/Tháng, Tân Thông Hội",850000000,402,2114427.8606965174,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán nhà cấp 4, Tặng 4 phòng trọ, Phước Vĩnh An, Củ Chi 10x40, Sổ Riêng",950000000,399,2380952.380952381,Huyện Củ Chi,Nhà ở,Phòng trọ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Nhà sổ chung mini gần trường tiểu học và Giáo xứ Bình Chiểu,550000000,12,45833333.333333336,Thành phố Thủ Đức,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Mặt Tiền Chung Cư Ngô Quyền - 58m2 - 8.5 Tỷ,85000000000,58,1465517241.3793104,Quận 5,Nhà ở,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Ủy Quyền bán tài sản Nguyễn Văn Trỗi Phú Nhuận,290000000000,300,966666666.6666666,Quận Phú Nhuận,Đất,Đất/đất nền
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,cần ban,550000000,15,36666666.666666664,Quận 7,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,BÁN CĂN HỘ DỊCH VỤ 18 PHÒNG THẢO ĐIỀN QUẬN 2,32000000000,98,326530612.24489796,Thành phố Thủ Đức,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,BÁN NHÀ CẤP 4 SUỐT 3X6 HẺM C13 PHẠM HÙNG KẾ KDC TRUNG SƠN GẦN HXH,599000000,18,33277777.777777776,Quận 8,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Nhà hẽm Sơn Kỳ giấy tay gia tộc để lại,410000000,11,37272727.27272727,Quận Tân Phú,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Bán gấp căn nhà Hóc Môn 4x10 385Triệu gần chợ Xuân Thới Thượng,385000000,42.2999,9101676.363301096,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,Nhà Hóc Môn có sổ 550tr gần chợ Xuân Thới Thượng Hóc Môn,550000000,72,7638888.888888889,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Nhà Hóc Môn bán gấp 595 Triệu, 2 Phòng Ngủ, Cách ngã Tư An Sương 25p",595000000,139.6,4262177.650429799,Huyện Hóc Môn,Nhà ở,Nhà phố/nhà ở
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,NHÀ VƯỜN 250M2 DUONG CÔNG KHI ĐƯỜNG THÔNG XE TẢI TIỆN XÂY BIỆT THỰ,5600000000,250,22400000,Huyện Hóc Môn,Nhà ở,Biệt thự/cao cấp
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,Cần bán gap Lê Thành Tân Tạo 34m 1PN 730,730000000,34,21470588.23529412,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá tuyệt đối theo nhóm sản phẩm,chotot,BÁN CĂN HỘ CHO THUÊ LÊ THÀNH 49 NĂM 780tr,780000000,39,20000000,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"TT 8-9tr/tháng, căn hộ 2pn2wc dt 65m2 tặng full nội thất cao cấp",400000000,65,6153846.153846154,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Mây Hồng Villa xây dựng mới vừa hoàn công, tiêu chuẩn resort cao cấp",15000000000,2553,5875440.658049353,Huyện Củ Chi,Nhà ở,Biệt thự/cao cấp
Bán,Ngoại lệ giá/m² theo nhóm sản phẩm,chotot,"Bán nhà chuyển chỗ ở giá 1tỷ , SHR, nằm ngay Đ Phạm Hữu Tâm , DT 124M2",1000000000,124,8064516.129032258,Huyện Củ Chi,Nhà ở,Nhà phố/nhà ở
