segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
sale,Tuned RF/XGBoost Ensemble,11999999999.999998,10836538809.03339,1163461190.966608,0.09695509924721735,chotot,Quận 1,Căn hộ/Chung cư,Căn hộ,Phường Bến Nghé,80,2,150000000
sale,Tuned RF/XGBoost Ensemble,19999999999.999992,20494938639.39175,494938639.39175797,0.024746931969587906,chotot,Quận 1,Căn hộ/Chung cư,Căn hộ,Phường Bến Nghé,110,3,181818181.8181818
sale,Tuned RF/XGBoost Ensemble,8349999999.999992,9851090911.063736,1501090911.0637436,0.17977136659446047,chotot,Quận 1,Căn hộ/Chung cư,Căn hộ,Phường Cô Giang,85,2,98235294.11764704
sale,Tuned RF/XGBoost Ensemble,1050000000.0000017,2329681550.794176,1279681550.7941744,1.218744334089688,chotot,Huyện Cần Giờ,Đất,Đất/đất nền,Xã An Thới Đông,114,4,9210526.315789474
sale,Tuned RF/XGBoost Ensemble,3800000000.0000014,4735254842.574212,935254842.5742106,0.24611969541426587,chotot,Huyện Cần Giờ,Đất,Đất/đất nền,Xã Bình Khánh,1500,4,2533333.3333333335
sale,Tuned RF/XGBoost Ensemble,4200000000.0000005,4034432453.594958,165567546.40504265,0.03942084438215301,chotot,Quận Gò Vấp,Căn hộ/Chung cư,Căn hộ,Phường 17,75,2,56000000
sale,Tuned RF/XGBoost Ensemble,4499999999.999999,4456000688.485258,43999311.514740944,0.009777624781053545,chotot,Quận Gò Vấp,Căn hộ/Chung cư,Căn hộ,Phường 17,75,2,60000000
sale,Tuned RF/XGBoost Ensemble,2850000000.000006,3858917886.8994546,1008917886.8994484,0.35400627610506885,chotot,Quận 7,Căn hộ/Chung cư,Căn hộ,Phường Phú Mỹ,70,2,40714285.71428572
sale,Tuned RF/XGBoost Ensemble,5050000000.000003,7051922236.334576,2001922236.3345728,0.39642024481872706,chotot,Quận 7,Căn hộ/Chung cư,Căn hộ,Phường Tân Hưng,115,3,43913043.47826087
sale,Tuned RF/XGBoost Ensemble,6199999999.999969,4787411313.192024,1412588686.8079443,0.22783688496902443,chotot,Quận 7,Căn hộ/Chung cư,Căn hộ,Phường Tân Thuận Tây,67,2,92537313.43283582
