tieu_de,gia_raw,dien_tich_raw,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,dia_chi,ngay_dang,phap_ly,id_nguon,lat,lon
Bán Tòa Nhà Căn Hộ Đường Trần Quốc Thảo Q.3 Thu Nhập Gần 2 Tỷ Mỗi Năm,38 tỷ,102 m2,Quận 3,Căn hộ,ban,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-toa-nha-can-ho-duong-tran-quoc-thao-q-3-thu-nhap-gan-2-ty-moi-nam-id22552805,mogi.vn,24 PN,"Trần Quốc Thảo, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM",01/06/2026,Sổ hồng,22552805,10.78373337,106.68658446999996
Bán Tòa Nhà Hầm 6 Lầu Đường Trần Quang Khải Quận 1 8x17 Vuông Vức,40 tỷ,137 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-ham-6-lau-duong-tran-quang-khai-quan-1-8x17-vuong-vuc-id22538379,mogi.vn,6 PN,"Trần Quang Khải, Phường Tân Định, Quận 1, TPHCM",01/06/2026,Sổ hồng,22538379,10.79138,106.68898289999993
Căn Duy Nhất MT Cao Thắng 4x16 Nhà 6 Tầng Giá 29 Tỷ,29 tỷ,64 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/can-duy-nhat-mt-cao-thang-4x16-nha-6-tang-gia-29-ty-id22525116,mogi.vn,10 PN,"Cao Thắng, Phường 12, Quận 10, TPHCM",01/06/2026,Sổ hồng,22525116,10.773972035,106.672698975
Bán Nhà Mặt Tiền Quận 1 21x19 Vuông Vức Giá Chỉ Hơn 80 Tỷ,85 tỷ,400 m2,Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-quan-1-21x19-vuong-vuc-gia-chi-hon-80-ty-id22505987,mogi.vn,1 PN,"Phan Ngữ, Phường Đa Kao, Quận 1, TPHCM",01/06/2026,Sổ hồng,22505987,10.7878843,106.69840260000001
Bán Nhà MT Kế Bên Quận 10 4.5x19m Thu Nhập 600 Triệu Mỗi Năm,15 tỷ 500 triệu,87 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mt-ke-ben-quan-10-4-5x19m-thu-nhap-600-trieu-moi-nam-id22502033,mogi.vn,12 PN,"Lý Thường Kiệt, Phường 9, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22502033,10.774662015,106.65200042499998
Căn Góc Hẻm Xe Hơi Đường Vườn Chuối Quận 3 Tiện Kinh Doanh,8 tỷ,37 m2,Quận 3,Bất động sản khác,ban,https://mogi.vn/quan-3/mua-nha-hem-ngo/can-goc-hem-xe-hoi-duong-vuon-chuoi-quan-3-tien-kinh-doanh-id22498166,mogi.vn,2 PN,"Vườn Chuối, Phường 4, Quận 3, TPHCM",01/06/2026,Sổ hồng,22498166,10.77394247,106.68294143499998
Bán Biệt Thự Siêu Sang Ngay Gần Khu Vip K300 Quận Tân Bình,51 tỷ 999 triệu,335 m2,Quận Tân Bình,Nhà phố,ban,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-biet-thu-sieu-sang-ngay-gan-khu-vip-k300-quan-tan-binh-id22493453,mogi.vn,7 PN,"Bình Giã, Phường 13, Quận Tân Bình, TPHCM",01/06/2026,Sổ hồng,22493453,10.80355835,106.64194870000006
Bán nhà Quận 10 Mặt Tiền Nguyễn Tri Phương Có Thu Nhập 85 triệu/tháng,34 tỷ 500 triệu,70 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-nha-quan-10-mat-tien-nguyen-tri-phuong-co-thu-nhap-85-trieu-thang-id22486389,mogi.vn,5 PN,"Nguyễn Đình Chiểu, Phường 4, Quận 10, TPHCM",01/06/2026,Sổ hồng,22486389,10.763026235,106.670001985
Mặt Tiền Lê Hồng Phong Quận 10 Đoạn Đẹp Nhất Con Đường 6 Tầng 8x23,78 tỷ,184 m2,Quận 10,Bất động sản khác,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mat-tien-le-hong-phong-quan-10-doan-dep-nhat-con-duong-6-tang-8x23-id22486311,mogi.vn,6 PN,"Lê Hồng Phong, Phường 12, Quận 10, TPHCM",01/06/2026,Sổ hồng,22486311,10.773972035,106.672698975
Siêu Hiếm - Biệt Thự Cũ Ngang Hơn 10m Hẻm Xe Tải Thành Thái Quận 10,20 tỷ 500 triệu,112 m2,Quận 10,Nhà phố,ban,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/sieu-hiem-biet-thu-cu-ngang-hon-10m-hem-xe-tai-thanh-thai-quan-10-id22712315,mogi.vn,3 PN,"Thành Thái, Phường 14, Quận 10, TPHCM",01/06/2026,Không xác định,22712315,10.772981165000001,106.66160202000003
