tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
Cho thuê chung cư Khánh Hội 2 - 82m2 2pn2wc - Giá 13tr,13 triệu,82 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-khanh-hoi-2-82m2-2pn2wc-gia-13tr-id22723201,mogi.vn,2,13000000,82,2026-06-19,,22723201,,
Cho thuê chung cư Sunrise City View - 105m2 3pn2wc - Full Nt - Giá 27t,27 triệu,105 m2,"Quận 7, TPHCM",Quận 7,Căn hộ,thue,https://mogi.vn/quan-7/thue-can-ho-chung-cu/cho-thue-chung-cu-sunrise-city-view-105m2-3pn2wc-full-nt-gia-27t-id22706210,mogi.vn,3,27000000,105,2026-06-19,,22706210,,
Cho thuê chung cư Vạn Đô 85m2 - 2pn 2wc - Giá 15tr/tháng,15 triệu,83 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-van-do-85m2-2pn-2wc-gia-15tr-thang-id22713237,mogi.vn,3,15000000,83,2026-06-19,,22713237,,
Cho thuê chung cư Grand Riverside - 60m2 2pn1wc - Giá 15tr,15 triệu,60 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-grand-riverside-60m2-2pn1wc-gia-15tr-id22721621,mogi.vn,2,15000000,60,2026-06-19,,22721621,,
Cho thuê chung cư Sunrise City View - 76m2 2pn2wc - Full Nt - Giá 20tr,20 triệu,76 m2,"Quận 7, TPHCM",Quận 7,Căn hộ,thue,https://mogi.vn/quan-7/thue-can-ho-chung-cu/cho-thue-chung-cu-sunrise-city-view-76m2-2pn2wc-full-nt-gia-20tr-id22706209,mogi.vn,2,20000000,76,2026-06-19,,22706209,,
Cho thuê chung cư Orient - 75m2 2pn2wc - Giá 13tr/tháng - Ở liền được,13 triệu,75 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-orient-75m2-2pn2wc-gia-13tr-thang-o-lien-duoc-id22705351,mogi.vn,2,13000000,75,2026-06-19,,22705351,,
Cho thuê chung cư Copac - 82m2 2pn2wc - Giá 14tr,14 triệu,82 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-copac-82m2-2pn2wc-gia-14tr-id22719863,mogi.vn,2,14000000,82,2026-06-19,,22719863,,
Cho thuê chung cư cao cấp Saigon Royal - 55m2 2pn1wc - Giá 18tr,18 triệu,55 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-cao-cap-saigon-royal-55m2-2pn1wc-gia-18tr-id22705354,mogi.vn,2,18000000,55,2026-06-19,,22705354,,
Cho thuê C/c Gold View - 80m2 2pn2wc - Full Nt - Giá 18tr/tháng,18 triệu,80 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-c-c-gold-view-80m2-2pn2wc-full-nt-gia-18tr-thang-id22704342,mogi.vn,2,18000000,80,2026-06-19,,22704342,,
Cho thuê chung cư Saigon Royal | 80m2 2pn2wc | Có nội thất | Giá 20tr,20 triệu,80 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-saigon-royal-80m2-2pn2wc-co-noi-that-gia-20tr-id22705357,mogi.vn,2,20000000,80,2026-06-19,,22705357,,
Cho thuê chung cư Vạn Đô - 65m2 1pn1wc - Full Nt - Giá 11tr,11 triệu,65 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-van-do-65m2-1pn1wc-full-nt-gia-11tr-id22706060,mogi.vn,1,11000000,65,2026-06-19,,22706060,,
Cho thuê chung cư Gold View - 117m2 3pn 2wc - Full NT - Giá 25tr/th,25 triệu,117 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-gold-view-117m2-3pn-2wc-full-nt-gia-25tr-th-id22704339,mogi.vn,3,25000000,117,2026-06-19,,22704339,,
Cho thuê chung cư Grand Riverside - 75m2 2pn 2wc - Full Nt - Giá 17tr,17 triệu,75 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-grand-riverside-75m2-2pn-2wc-full-nt-gia-17tr-id22706037,mogi.vn,2,17000000,75,2026-06-19,,22706037,,
Cho thuê chung cư Grand Riverside - 85m2 3pn2wc - có 2 ban công - 22tr,22 triệu,85 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-grand-riverside-85m2-3pn2wc-co-2-ban-cong-22tr-id22714485,mogi.vn,3,22000000,85,2026-06-19,,22714485,,
Cho thuê chung cư Gold View - 64m2 2pn1wc - giá 16tr/tháng,16 triệu,65 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-gold-view-64m2-2pn1wc-gia-16tr-thang-id22710736,mogi.vn,2,16000000,65,2026-06-19,,22710736,,
Cho thuê chung cư Gold View - 50m2 1pn1wc - Full NT - Giá 16tr,16 triệu,50 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-gold-view-50m2-1pn1wc-full-nt-gia-16tr-id22714486,mogi.vn,1,16000000,50,2026-06-19,,22714486,,
Cho thuê C/c Gold View - 80m2 2pn 2wc - Full nội thất - Giá 17tr/th,17 triệu,80 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-c-c-gold-view-80m2-2pn-2wc-full-noi-that-gia-17tr-th-id22704336,mogi.vn,2,17000000,80,2026-06-19,,22704336,,
Cho thuê chung cư Grand Riverside - 85m2 3pn2wc - Full Nt - Giá 21tr,21 triệu,85 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-grand-riverside-85m2-3pn2wc-full-nt-gia-21tr-id22704589,mogi.vn,3,21000000,85,2026-06-19,,22704589,,
Cho thuê C/c Gold View - 117m2 3pn2wc - Full NT - Giá 25tr/tháng,25 triệu,117 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-c-c-gold-view-117m2-3pn2wc-full-nt-gia-25tr-thang-id22704340,mogi.vn,3,25000000,117,2026-06-19,,22704340,,
Cho thuê chung cư cao cấp Galaxy 9 - 45m2 1PN 1WC - giá 15tr/tháng,15 triệu,45 m2,"Quận 4, TPHCM",Quận 4,Căn hộ,thue,https://mogi.vn/quan-4/thue-can-ho-chung-cu/cho-thue-chung-cu-cao-cap-galaxy-9-45m2-1pn-1wc-gia-15tr-thang-id22704311,mogi.vn,1,15000000,45,2026-06-19,,22704311,,
