tieu_de,gia_raw,dien_tich_raw,dia_chi,quan_huyen,loai_bds,loai_gd,url,nguon,so_phong_ngu,gia_vnd,dien_tich_m2,ngay_dang,phap_ly,id_nguon,lat,lon
"Bán nhà HXH Trần Quang Diệu-Lê Văn Sỹ, Quận 3, 4.3x20m, 3 tầng, 14.99t",14 tỷ 990 triệu,90 m2,"Trần Quang Diệu, Phường 14, Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-hxh-tran-quang-dieu-le-van-sy-quan-3-4-3x20m-3-tang-14-99t-id22619008,mogi.vn,5,14990000000,90,20607,Giấy tờ hợp lệ,22619008,10.7886014,106.67874527000004
"Bán nhà Mt ngay Đinh Tiên Hoàng, Quận 1, 4.5x16m, H+5L, giá 32.9 tỷ",32 tỷ 900 triệu,70 m2,"Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mt-ngay-dinh-tien-hoang-quan-1-4-5x16m-h-5l-gia-32-9-ty-id22604379,mogi.vn,10,32900000000,70,20607,Giấy tờ hợp lệ,22604379,10.7878843,106.6984026
"Bán nhà Nguyễn Đình Chiểu- Phan Xích Long, Phú Nhuận 4.5x12.5, 5 lầu,",14 tỷ 800 triệu,52 m2,"Phan Xích Long, Phường 3, Quận Phú Nhuận, TPHCM",Quận Phú Nhuận,Nhà phố,ban,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-nha-nguyen-dinh-chieu-phan-xich-long-phu-nhuan-4-5x12-5-5-lau-id22589460,mogi.vn,10,14800000000,52,20607,Giấy tờ hợp lệ,22589460,10.801807405,106.68176651
"Bán nhà mặt tiền ngay Điện Biên Phủ, Quận 1 2 chiều 9.5x25m, giá 125 t",125 tỷ,230 m2,"Điện Biên Phủ, Phường Đa Kao, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-mat-tien-ngay-dien-bien-phu-quan-1-2-chieu-9-5x25m-gia-125-t-id22590432,mogi.vn,2,125000000000,230,20607,Giấy tờ hợp lệ,22590432,10.7878843,106.6984026
"Bán nhà Mặt tiền đường Quận 3, P. Võ Thị Sáu, H, 5lầu, giá 24.9 tỷ",24 tỷ 990 triệu,68 m2,"Võ Thị Sáu, Phường 7 (Phường Võ Thị Sáu), Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-quan-3-p-vo-thi-sau-h-5lau-gia-24-9-ty-id22566508,mogi.vn,15,24990000000,68,20607,Giấy tờ hợp lệ,22566508,10.78373337,106.68658446999996
"Bán nhà HXH gần MT Nguyễn Đình Chiểu, Q.3, 132m2, 4L, 24.9 tỷ",24 tỷ 900 triệu,132 m2,"Nguyễn Đình Chiểu, Phường 4, Quận 3, TPHCM",Quận 3,Nhà phố,ban,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/ban-nha-hxh-gan-mt-nguyen-dinh-chieu-q-3-132m2-4l-24-9-ty-id22566505,mogi.vn,5,24900000000,132,20607,Giấy tờ hợp lệ,22566505,10.77394247,106.68294143499998
"Bán nhà Lê Quang Định Nguyễn Văn Đậu, Bình Thạnh, 9x25m, giá 23 tỷ",23 tỷ,240 m2,"Lê Quang Định, Phường 11, Quận Bình Thạnh, TPHCM",Quận Bình Thạnh,Nhà phố,ban,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-le-quang-dinh-nguyen-van-dau-binh-thanh-9x25m-gia-23-ty-id22559589,mogi.vn,5,23000000000,240,20607,Giấy tờ hợp lệ,22559589,10.81578016,106.69408034999992
Được giá bán luôn CH Hà Đô Centrosa 2 PHÒNG NGỦ+ 1 PHÒNG ĐA NĂNG,2 tỷ 105 triệu,107 m2,"Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",Quận 10,Phòng/Cho thuê,ban,https://mogi.vn/quan-10/mua-can-ho-chung-cu/duoc-gia-ban-luon-ch-ha-do-centrosa-2-phong-ngu-1-phong-da-nang-id22733186,mogi.vn,2,2105000000,107,20607,Sổ hồng,22733186,10.7745346,106.6761374
"Bán tòa nhà mặt tiền gần Hai Bà Trưng, Q1, 6.5x23m, 5L, giá 69.9 tỷ TL",69 tỷ 900 triệu,145 m2,"Hai Bà Trưng, Phường Tân Định, Quận 1, TPHCM",Quận 1,Nhà phố,ban,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-toa-nha-mat-tien-gan-hai-ba-trung-q1-6-5x23m-5l-gia-69-9-ty-tl-id22559590,mogi.vn,5,69900000000,145,20607,Giấy tờ hợp lệ,22559590,10.79138,106.68898289999991
"Bán căn hộ 2PN – 2WC HÀ ĐÔ CENTROSA, Q10 Diện tích: 87m² 2PN",2 tỷ 435 triệu,87 m2,"Đường 3 Tháng 2, Phường 12, Quận 10, TPHCM",Quận 10,Căn hộ,ban,https://mogi.vn/quan-10/mua-can-ho-chung-cu/ban-can-ho-2pn-2wc-ha-do-centrosa-q10-dien-tich-87m-2pn-id22733182,mogi.vn,2,2435000000,87,20607,Sổ hồng,22733182,10.7745346,106.6761374
"Bán nhà ngay Trần Bình Trọng, Quận 5, 5.2x22m, 4L, giá 35 tỷ",35 tỷ,120 m2,"Trần Bình Trọng, Phường 4, Quận 5, TPHCM",Quận 5,Nhà phố,ban,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/ban-nha-ngay-tran-binh-trong-quan-5-5-2x22m-4l-gia-35-ty-id22559580,mogi.vn,5,35000000000,120,20607,Giấy tờ hợp lệ,22559580,10.76177788,106.6791992200001
