transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,mogi,Quận 1,Biệt thự,35,100000000,240,450000
Bán,alonhadat,Quận 10,Nhà ở,34,16700000000,65,267142857.14285713
Bán,alonhadat,Quận 12,Nhà ở,34,6500000000,71,79500000
Cho thuê,mogi,Quận Bình Tân,Biệt thự,33,50000000,200,240000
Bán,mogi,Quận 6,Bất động sản khác,32,9950000000,77,161328125
Cho thuê,mogi,Quận Tân Bình,Bất động sản khác,32,5300000,45,137500
Cho thuê,mogi,Quận 10,Biệt thự,30,49000000,126,334663.86554621847
Cho thuê,mogi,Quận Bình Thạnh,Bất động sản khác,29,9500000,50,130000
Bán,alonhadat,Quận Bình Thạnh,Đất,28,27050000000,138.5,211180555.55555552
Bán,mogi,Quận Bình Thạnh,Đất nền,28,23250000000,110,144744631.9018405
Bán,mogi,Quận Bình Tân,Bất động sản khác,28,10100000000,80,105567226.8907563
Cho thuê,mogi,Quận 5,Căn hộ,28,6500000,35,200000
Bán,alonhadat,Thành phố Thủ Đức,Biệt thự,27,65000000000,350,173684210.52631578
Bán,homedy,Thành phố Thủ Đức,Đất nền,27,42000000000,224.4,96470588.2352941
Bán,mogi,Quận 8,Nhà phố,27,8900000000,65,139473684.21052632
Bán,alonhadat,Quận 6,Nhà ở,26,11800000000,72,163347953.21637428
Bán,mogi,Quận 5,Nhà phố,26,13495000000,62.5,281969696.969697
Bán,mogi,Quận Bình Tân,Căn hộ,26,2125000000,68,29843750
Bán,alonhadat,Quận 7,Nhà ở,25,9700000000,74,126666666.66666669
Bán,alonhadat,Quận 11,Nhà ở,24,15300000000,79,193750000
Bán,alonhadat,Quận 3,Đất,24,63000000000,178.5,391350307.9327144
Bán,mogi,Quận Gò Vấp,Căn hộ,24,2075000000,58.5,40198039.21568628
Cho thuê,mogi,Quận 1,Bất động sản khác,24,10250000,50,235416.6666666667
Bán,mogi,Quận 8,Căn hộ,23,2200000000,74,31250000
Bán,alonhadat,Thành phố Thủ Đức,Đất,22,8650000000,114.5,95844553.24357405
Bán,homedy,Quận Bình Tân,Nhà phố,22,4350000000,50,59023892.773892775
Bán,mogi,Quận 11,Nhà phố,22,7900000000,53.5,176696832.57918552
Bán,mogi,Quận Tân Phú,Bất động sản khác,22,8600000000,85,118263888.8888889
Cho thuê,mogi,Quận 11,Căn hộ,22,10500000,72,163922.0779220779
Cho thuê,mogi,Quận 8,Nhà phố,22,11000000,61,187500
Bán,homedy,Huyện Củ Chi,Đất nền,21,1300000000,100,11250000
Bán,homedy,Quận Bình Thạnh,Nhà phố,21,2100000000,60,42181818.18181818
Bán,muaban,Quận Gò Vấp,Nhà ở,21,12500000000,52.5,172549019.60784313
Cho thuê,mogi,Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",21,45000000,168,200000
Bán,alonhadat,Quận Gò Vấp,Đất,20,12845000000,99.5,119265734.26573426
Bán,mogi,Quận Bình Tân,Đất nền,20,12700000000,120,115312500
Cho thuê,luachonnhadat,Quận Bình Tân,Đất,20,22500000,200,100000
Cho thuê,mogi,Quận 8,Căn hộ,20,8000000,53.5,123310.81081081083
Cho thuê,mogi,Quận Gò Vấp,Bất động sản khác,20,5000000,42.5,125000
Bán,alonhadat,Quận 5,Nhà ở,19,30000000000,85,369230769.2307692
Cho thuê,mogi,Quận 12,Biệt thự,19,13000000,100,123076.92307692308
Cho thuê,mogi,Quận Phú Nhuận,Bất động sản khác,19,8000000,45,150000
Bán,mogi,Quận 4,Nhà phố,18,2479000000,36,77444642.85714287
Cho thuê,mogi,Quận 3,Bất động sản khác,18,7250000,45,160625
Cho thuê,mogi,Quận Bình Thạnh,"Văn phòng, Mặt bằng kinh doanh",18,31000000,80,312500
Bán,alonhadat,Huyện Hóc Môn,Nhà ở,17,4099999999.999999,84,27848101.265822783
Bán,alonhadat,Quận 8,Nhà ở,17,9400000000,72,109375000
Bán,alonhadat,Quận Phú Nhuận,Đất,17,57000000000,168,236363636.36363637
Bán,alonhadat,Quận Tân Bình,Biệt thự,17,25000000000,152,197674418.60465115
Bán,alonhadat,Quận Tân Phú,Đất,17,19900000000,160,116233766.23376624
Bán,chotot,Quận 6,Đất,17,10500000000,84,106250000
Bán,homedy,Quận 8,Nhà phố,17,1800000000,58.5,33333333.333333332
Bán,homedy,Quận Bình Thạnh,Bất động sản khác,17,2500000000,55,45454545.45454545
Cho thuê,mogi,Huyện Nhà Bè,Biệt thự,17,28000000,140,247619.04761904763
Cho thuê,mogi,Quận Gò Vấp,"Văn phòng, Mặt bằng kinh doanh",17,22000000,100,246666.66666666663
Bán,luachonnhadat,Quận Bình Tân,Biệt thự,16,30250000000,200,148630952.3809524
Bán,mogi,Quận 12,Căn hộ,16,2615000000,62,43359375
Cho thuê,mogi,Thành phố Thủ Đức,Đất nền,16,62500000,850,85000
Bán,chotot,Huyện Hóc Môn,Căn hộ/Chung cư,15,1250000000,60,20000000
Bán,homedy,Quận 12,Nhà phố,15,1270000000,40,32500000
Cho thuê,homedy,Quận Tân Phú,Căn hộ,15,10000000,85,122222.22222222222
Cho thuê,luachonnhadat,Quận Bình Tân,Biệt thự,15,55000000,200,275000
Cho thuê,mogi,Huyện Hóc Môn,Phòng/Cho thuê,15,32000000,200,104545.45454545454
Bán,alonhadat,Huyện Bình Chánh,Nhà ở,14,5750000000,99.5,44462081.12874779
Bán,alonhadat,Huyện Củ Chi,Nhà ở,14,900000000,121,8389015.800494956
Bán,chotot,Huyện Cần Giờ,Nhà ở,14,13000000000,230.19995,82273479.15935615
Bán,mogi,Quận 1,Đất nền,14,120000000000,395,377722623.345367
Bán,mogi,Quận Phú Nhuận,Căn hộ,14,2984000000,70,48611111.11111111
Cho thuê,mogi,Quận Tân Phú,Biệt thự,14,30000000,185,216666.6666666667
Bán,homedy,Thành phố Thủ Đức,Bất động sản khác,13,9000000000,81,116666666.66666669
Bán,mogi,Quận 12,Bất động sản khác,13,28500000000,673,48672566.371681415
Bán,mogi,Quận 4,Bất động sản khác,13,4980000000,79,60058823.52941176
Cho thuê,chotot,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",13,170000000,92,1737500
Bán,alonhadat,Quận 1,Căn hộ chung cư,12,34950000000,138.5,272231240.981241
Bán,alonhadat,Quận 3,Biệt thự,12,82000000000,264.5,307161125.3196931
Bán,alonhadat,Quận Tân Bình,Căn hộ chung cư,12,28750000000,168,205026455.02645504
Bán,mogi,Huyện Nhà Bè,Đất nền,12,9000000000,155,66388888.88888889
Bán,mogi,Quận 10,Đất nền,12,41999500000,256.5,189221208.32001048
Bán,mogi,Quận 3,Căn hộ,12,5300000000,59,99925037.48125938
Bán,mogi,Quận 6,Căn hộ,12,1615000000,68,25955473.09833024
Cho thuê,chotot,Quận Bình Tân,"Văn phòng, Mặt bằng kinh doanh",12,185000000,87.5,1961538.4615384615
Bán,alonhadat,Huyện Nhà Bè,Nhà ở,11,6580000000,65,63586956.52173913
Bán,alonhadat,Quận 5,Đất,11,29500000000,85,431693989.07103825
Bán,alonhadat,Quận Tân Bình,Mặt bằng,11,17000000000,100,207207207.2072072
Bán,homedy,Quận Gò Vấp,Nhà phố,11,6700000000,64,100000000
Bán,luachonnhadat,Quận Tân Phú,Nhà phố,11,8600000000,64,144545454.54545453
Bán,mogi,Quận 5,Căn hộ,11,2025000000,70,29779411.76470588
Cho thuê,homedy,Thành phố Thủ Đức,Nhà phố,11,27000000,140,181250
Cho thuê,luachonnhadat,Quận Bình Tân,Mặt bằng,11,20000000,126,166666.66666666666
Cho thuê,mogi,Huyện Bình Chánh,Nhà phố,11,15000000,100,150000
Cho thuê,mogi,Huyện Bình Chánh,Phòng/Cho thuê,11,3500000,30,116666.66666666669
Cho thuê,mogi,Quận 6,Căn hộ,11,8500000,52,141666.66666666666
Cho thuê,muaban,Quận Bình Thạnh,Nhà đất cho thuê,11,5500000,45,137500
Bán,homedy,Quận 10,Nhà phố,10,6650000000,59,191159420.28985506
Bán,homedy,Quận Gò Vấp,Bất động sản khác,10,2150000000,53.5,40780542.98642534
Bán,mogi,Quận 11,Căn hộ,10,3850000000,73,58545673.07692307
Bán,mogi,Quận 3,Đất nền,10,165000000000,429,366824831.9493871
Bán,mogi,Quận 5,Bất động sản khác,10,41500000000,96.5,222051282.05128205
Bán,mogi,Quận 7,Đất nền,10,15900000000,133,101288181.558664
Bán,alonhadat,Quận 10,Đất,9,29900000000,99,226666666.66666663
Bán,alonhadat,Quận Bình Tân,Đất,9,7600000000,86,80821917.80821918
Bán,homedy,Huyện Hóc Môn,Nhà phố,9,900000000,50,19750000
Bán,homedy,Quận Bình Tân,Đất nền,9,2550000000,65,41129032.25806451
Bán,homedy,Quận Tân Bình,Nhà phố,9,2850000000,51,118604651.1627907
Bán,mogi,Huyện Nhà Bè,Bất động sản khác,9,17900000000,220,81363636.36363636
Cho thuê,homedy,Quận 12,Căn hộ,9,6500000,51,120000
Cho thuê,homedy,Quận Tân Phú,Bất động sản khác,9,10000000,78,112903.2258064516
Cho thuê,mogi,Quận 4,Bất động sản khác,9,3000000,45,75000
Cho thuê,mogi,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",9,32000000,140,321428.5714285714
Cho thuê,muaban,Quận Phú Nhuận,Nhà đất cho thuê,9,40000000,72,555555.5555555555
Bán,alonhadat,Quận 12,Biệt thự,8,20450000000,202.5,77383520.27610008
Bán,alonhadat,Quận 8,Đất,8,12200000000,86.5,119907407.4074074
Bán,alonhadat,Quận Gò Vấp,Căn hộ chung cư,8,10150000000,129.5,122042410.71428572
Bán,homedy,Quận 12,Bất động sản khác,8,4890000000,75.4,57736885.245901644
Bán,homedy,Quận Tân Phú,Nhà phố,8,2075000000,64.5,65250000
Bán,mogi,Quận 11,Bất động sản khác,8,1902500000,56,41982456.14035088
Bán,muaban,Quận 7,Nhà ở,8,4900000000,58.8,97324810.6060606
Bán,muaban,Quận Bình Thạnh,Nhà ở,8,6500000000,56,150793650.7936508
Bán,muaban,Quận Tân Bình,Nhà ở,8,21900000000,63,251265822.78481013
Bán,muaban,Quận Tân Phú,Nhà ở,8,5850000000,64,113125000
Cho thuê,homedy,Quận Bình Tân,Căn hộ,8,3350000,35,133750
Cho thuê,homedy,Quận Tân Phú,Nhà phố,8,13250000,68,194029.85074626867
Cho thuê,mogi,Huyện Bình Chánh,Bất động sản khác,8,135000000,1750,68571.42857142858
